Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
HS00901,FIL 641.71 S61 2015,Simply delicious: 50 years of good food from maya,,2015,,9789712730924,Mandaluyong City,"Anvil Publishing, Inc.",FIL,208p.: col. ill. ; 23cm,"Foreword by: Felice P. Sta. Maria
Afterword by: Lourd H. De Veyra",
HS00902,FIL 899.2113 R33 2005,Ang mundong ito ay lupa,"Reyes, Edgardo M.",2005,,9715844189,Quezon City,"C & E Publishing, Inc.",FIL,"xi, 383p. ; 19cm",,
HS00903,R 499.211 T12 2012,"Tagalog-friendly dictionary and idiomatic expressions with meaning & examples: More than 6,800 tagalog words and more than 2,500 idiomatic expressions",,2012,,9713619781,Valenzuela City,"S.G.E. Publishing, Inc.",REF,474p. ; 17 cm.,,
HS00904,FIL 808.8 Sp41 2001,"Spiritual register: the new columns of Teodora M. Kalaw in la vanguardia, 1926-1927","Joaquin, Nick",2001,,971271067X,Pasig City,"Anvil Publishings, Inc.",FIL,"xvii, 180p. ; 23cm.",,
HS00905,FIL 899.23 S13 1991,Ang munting prinsipe,"Exupery, Antoine De Saint",1991,,9715014887,Quezon City,Claretian Publications,FIL,94p. : col. ill. ; 18cm.,,
HS00906,FIC 843.912 D2782 2015,The little prince,"De Saint-Exupery, Antoine",2015,,9781509811304,London,Picador,FIC,"xiii, 114p. : ill. ; 20cm.",,
HS00907,FIL 808.88 As42 2009,Asia's Gems: Inspiring Words from the Ramon Magsaysay Awardees,,2009,,9789712723063,Pasig City,"Anvil Publishing, Inc.",FIL,151p. : ill. ; 18cm.,,
HS00908,FIL 959.9025 C95 2015,A workbook for the rizal course,"Cruz, Geoffrey Rhoel",2015,,9789712731198,Mandaluyong City,"Anvil Publishing, Inc.",FIL,97p. ; 23 cm.,,
HS00909,FIL 899.2113 R33 2005 c.1.,Ang mundong ito ay lupa,"Reyes, Edgardo M.",2005,,9715844189,Quezon City,"C & E Publishing, Inc.",FIL,"xi, 383p. ; 19cm",,
HS00910,TR 512,Mathematics: problem solving for success,,,,618157670,Boston,Houghton Mifflin,TR,"vi, 144p.: ill.; 28cm",,
HS00911,TR 512,Mathematics: California standards-based assessment,,,,618157794,Boston,Houghton Mifflin,TR,"vi, 164p.: ill.; 28cm",,
HS00912,TR 512,Mathematics: english language learners handbook,,,,618105018,Boston,Houghton Mifflin,TR,"xvii, 198p.: ill.; 28cm",,
HS00913,TR 909,World history,,,,131299913,Boston,"Pearson Education, Inc.",TR,"vi, 109p.; 28cm",,
HS00914,TR 512,Algebra 1,,,,9780030946776,Orlando,"Holt, Rinehart and Winston",TR,"iii, 81p.; 28cm",,
HS00915,TR 512 2001 c.1,Mathematics,,2001,,618078460,Illinois,McDougal Littell,TR,iv; 25cm,,
HS00916,TR 512 2001 c.2,Mathematics,,2001,,618078460,Illinois,McDougal Littell,TR,iv; 25cm,,
HS00917,TR 512 2001 c.3,Mathematics,,2001,,618078460,Illinois,McDougal Littell,TR,iv; 25cm,,
HS00918,TR 512 2001 c.4,Mathematics,,2001,,618078460,Illinois,McDougal Littell,TR,iv; 25cm,,
HS00919,TR 510 En891,Envision math california: interactive homework workbook grade-1,,,,,,Pearson Education Inc.,TR,268p.; 28cm,,
HS00920,TR 510 En891 c.1,Envision math california: interactive homework workbook grade-1,,,,,,Pearson Education Inc.,TR,268p.; 28cm,,
HS00921,TR 510 En891 c.2,Envision math california: interactive homework workbook grade-1,,,,,,Pearson Education Inc.,TR,268p.; 28cm,,
HS00922,TR 510 En891 c.3,Envision math california: interactive homework workbook grade-1,,,,,,Pearson Education Inc.,TR,268p.; 28cm,,
HS00923,TR 510 En891,Envision math california: interactive homework workbook grade-2,,,,,,Pearson Education Inc.,TR,268p.; 28cm,,
HS00924,TR 2002,Inquiry journal,,,,75695677,,SRA/McGraw-Hill,TR,143p.; 28cm,,
HS00925,TR 2002,Spellinbg and vacabulary skills,,,,75711036,,SRA/McGraw-Hill,TR,172p.; 28cm,,
HS00926,TR 01.4 P6939 2010,Understanding research: a consumer's guide,"Plano Clark, Vicki L.",2010,,,,Pearson Education Inc.,TR,"xix, 388p.: ill.; 28cm",,
HS00927,TR 512 2001,Algebra 1,,2001,,618078762,Illinois,McDougal Littell,TR,iv; 25cm,,
HS00928,TR 512 2001,Algebra 1,,2001,,618078762,Illinois,McDougal Littell,TR,iv; 25cm,,
HS00929,TR 512 2001,Algebra 1,,2001,,618078762,Illinois,McDougal Littell,TR,iv; 25cm,,
HS00930,TR,Mathematics: spiral review,,,,618105212,Boston,Houghton Mifflin,GC,"iv, 71p.: ill.; 28cm",,
HS00931,TR,Mathematics: teacher resource book,,,,618100709,Boston,Houghton Mifflin,TR,"iv, 101p.: ill.; 28cm",,
HS00932,TR 2003,We the people: the citizen & the constitution,,2003,,898181690,,Center fot Civic Education,TR,235p.: col. ill.; 28cm,,
HS00933,TR 2003 c.1,We the people: the citizen & the constitution,,2003,,898181690,,Center fot Civic Education,TR,235p.: col. ill.; 28cm,,
HS00934,TR 512,Mathematics: challenge workbook,,,,618104992,Boston,houghton Mifflin,TR,156p.: ill.; 28cm,,
HS00935,TR 512,Mathematics: problem solving for advance learners,,,,618129170,Boston,houghton Mifflin,TR,99p.: ill.; 28cm,,
HS00936,TR 512,Mathematics: english language learners handbook,,,,618105069,Boston,houghton Mifflin,TR,251p.: ill.; 28cm,,
HS00937,TR 512 2008 c.2,Math expressions grade 3,"Fuson, Karen C.",2008,,9780618896103,Boston,Houghton Mifflin,TR,v: col. ill.; 28cm,,
HS00938,TR 516,"Geometry: integration, applications & connections",,,,2825287,,McGraw-Hill,TR,85p.; 28cm,,
HS00939,TR 516 c.1,"Geometry: integration, applications & connections",,,,2825287,,McGraw-Hill,TR,85p.; 28cm,,
HS00940,FIC H297 2006,The bloodwater mysteries: snatched,"Hautman, Pete",2006,,399243771,,G.P. Putnam's Sons,FIC,200p.; 22cm,,
HS00941,FIC H4365 1985,A small town,"Hearon, Shelby",1985,,689115830,Canada,"Collier Macmillan Canada, Inc.",FIC,335p.; 22cm,,
HS00942,TR 342.27 P356 2015,Embracing the teaching profession,"Tamayao, Antonio I.",2015,First edition,9786210401257,Manila City,Rex Book Store,TR,"xxiv, 322p.; 26cm",w/ index,
HS00943,TR 372.7 M1101 1999,Knowing ang teaching elementary mathematics,"Ma, Liping",1999,,805829091,New Jersey,"Lawrence Erlbaum Associates, Inc.",TR,"xxv, 166p.; 23cm",,
HS00944,TR 369.43 CO737m 1995,Commissioner's manual,,1995,First edition,,Manila,Boy Scout of the Philippines,TR,135p.; 22cm,,
HS00945,TR 305.235 D34 2004,20 tough questions teenagers ask,"Davitz, Lois Leiderman",2004,,9715019914,Quezon City,Claretian Publications,TR,"viii, 128p.; 22cm",,
HS00946,TR 423.13 C25 2006,Cambridge idioms dictionary,,2006,,9780521860376,New Yor,Cambridge University Press,TR,"xv, 505p.: ill.; 20cm",,
HS00947,TR 418 2002,Language arts handbook,,2002,,75695405,,SRA/McGraw-Hill,TR,374p.: col. ill.; 24cm,,
HS00948,TR 418 2002,Language arts handbook,,2002,,75695413,,SRA/McGraw-Hill,TR,374p.: col. ill.; 24cm,,
HS00949,TR 418 2002,Language arts handbook,,2002,,75695413,,SRA/McGraw-Hill,TR,374p.: col. ill.; 24cm,,
HS00950,GC 509.2 M417 2005,Truth Seekers,"Mateo, Laila E.",2005,,9710367110,Kalookan City,Smartbooks Publishing,GC,"viii, 120p. : ill. ; 15cm",,
HS00951,FIL 959.90 O15 2012,"Rizal's teeth, bonifacio's bones: Looking Back 5","Ocampo, Ambeth R.",2012,,9789712727566,Mandaluyong City,"Anvil Publishing, Inc.",FIL,"ix, 96p. : ill. ; 18 cm",,
HS00952,FIL 302.23 K5271 2015,Media and information literacy handbook,"Khan, Rachel E.",2015,,9789712730597,Mandaluyong City,"Anvil Publishing, Inc.",FIL,"viii, 98 p. : ill. ; 22 cm.",,
HS00953,FIL 302.23 K5271 2015 c.1.,Media and information literacy handbook,"Khan, Rachel E.",2015,,9789712730597,Mandaluyong City,"Anvil Publishing, Inc.",FIL,"viii, 98 p. : ill. ; 22 cm.",,
HS00954,FIL 398.2 Aq5 1972,Philippine legends,"Aquino, Gaudencio",1972,,9710806157,Metro Manila,National Book Store,FIL,133p. : ill. ; 17cm.,,
HS00955,TR 510 C8169t 2013,Math challenge questions: 4th year high school,"Coronel, Illuminada",2013,,9789712728198,,"Anvil Publishing, Inc.",TR,"xxvii, 76p. : ill. ; 22cm","Sr. Illuminada C. Coronel, F.M.M.
Flordeliza F. Francisco, Ph.D.
Ian June L. Garces, Ph.D.",
HS00956,FIL 959.9 T55 2014,Mga talumpati ng ating kasaysayan,"Tica, Vivian L. Balaris-",2014,,9789716100655,Quezon City,"Isa-Jecho Publishing, Inc.",FIL,"ix, 240p. ; 21 cm.",Tinipon ni Vivian L. Balaris-Tica,
HS00957,R 323.6 L14 2011,12 Little things our youth can do to help our country,"Lacson, Alex",2011,,9789719335733,Quezon City,Alay Pinoy Publishing House,REF,"xvii, 95p. ;17 cm.",,
HS00958,FIL 899.211 V54 2010,Tamang hinala,"Villanueva Jr., Camillo M. -",2010,,9789715849869,Quezon City,"C & E Publishing, Inc.",FIL,"xxii, 93p. : ill. ; 18 cm.",,
HS00959,TR 2002,Inquiry journal,,2002,,75695715,,SRA/McGraw-Hill,TR,143p.; 28cm,,
HS00960,TR 2002,Home connection,,2002,,75712571,,SRA/McGraw-Hill,TR,90p.; 28cm,,
HS00961,TR 2002,Writer's workbook,,2002,,75695545,,SRA/McGraw-Hill,TR,142p.; 28cm,,
HS00962,TR 2002,Spelling and vocabulary skills,,2002,,75711044,,SRA/McGraw-Hill,TR,172p.; 28cm,,
HS00963,TR 2002,Challenge,,2002,,75720531,,SRA/McGraw-Hill,TR,180p.; 28cm,,
HS00964,TR 2002,Decodable takehome books,,2002,,75723875,,McGraw-Hill,TR,col. ill.; 28cm,,
HS00965,TR 2002,Comprehension and language arts skills,,2002,,75719061,,SRA/McGraw-Hill,TR,203p.; 28cm,,
HS00966,TR 2002,Intervention,,2002,,7571910,,SRA/McGraw-Hill,TR,180p.; 28cm,,
HS00967,TR 158.1 AC37b 2010,Born to be a hero: making difference in the world,"Coach Nazareno-Acevedo, Pia",2010,,9789719490104,Quezon City,Creative Human Resources Group,TR,166p.: ill.; 22cm,,
HS00968,TR 400 EN361 2013,The new general education a+dvancement program in english,,2013,Revised edition,9789710328311,Hong Kong,Brainworld,TR,"ix, 312p.: ill.; 28cm",,
HS00969,TR 300 SO1312 2013,The new general education a+dvancement program in social studies,,2013,Revised edition,9789710328314,Hong Kong,Brainworld,TR,"x, 309p.: ill.; 28cm",,
HS00970,FIL 899.211807 On3p 2003,Ang paboritong libro ni hudas,"Ong, Bob",2003,,9719234210,Makati City,"Visprint, Inc.",FIL,171 p. ; 18 cm.,,
HS00971,FIL 808.83 R6183 2009,Displaced,"Rodriguez, Aneka",2009,,9789715083386,Quezon City,Adarna House,FIL,152 p. ; 20cm.,,
HS00972,FIL 959.9025092j Z135r 1997,"Jose Rizal: Life, works, and writings of a genius, writer, scientist,and national hero","Zaide, Gregorio F.",2014,Second edition,9789712733239,Mandaluyong City,"Anvil Publishing, Inc.",FIL,"xxxii, 438p. ; 22 cm.","Co-Author: Sonia M. Zaide, Ph.D.
w/index",
HS00973,FIL 642.5 M6991 2018,Mix and match meals: Your 4-week guide to home cooking book 1,the Maya kitchen,2018,,9789712734588,Pasig City,"Anvil Publishing, Inc.",FIL,120p. : ill. ; 23cm,,
HS00974,FIL 642.5m M6991 2018,Mix and match meals: Your 4-week guide to home cooking book 2,the Maya kitchen,2018,,9789712734595,Pasig City,"Anvil Publishing, Inc.",FIL,112p. : ill. ; 23cm,,
HS00975,FIL 899.211 As861t 2017,21st Century Literature from the Philippines and the World,"Asuncion, Luis G.",2017,,9786219565349,Malabon City,JO-DEH Publishing,FIL,"viii, 343 pages : ill. ; 23 cm.","Co-Authors: Jeremiah R. Irarum, 
Bernadette B. Enriquez",
HS00976,FIL 695.9 B84 2018,Abstracting and indexing made easy,"Buenrostro, Juan C. Jr.",2018,Secon edition,9789719645641,Quezon City,Great Books Trading,FIL,"vii, 142 pages ; 24 cm",,
HS00977,GC 940.53 W927 2014,World war II: The defining moments of the war that shaped the 20th century,igloobooks,2014,,9781784400071,,Igloo Books Ltd,GC,174p. : col. ill. ; 28 cm.,,
HS00978,R 920.02 V944w 2014,The who the what the when,"Volvovski, Jenny",2014,,9781452128276,"San Francisco, CA",Chronicle Books LLC,REF,167P. : col. ill. ; 26 cm.,"Co-Author: Julia Rothman, Matt Lamonthe
Foreword by: Kurt Andersen",
HS00979,TR 500 SCI271 2013,The new general education a+dvancement program in science,,2013,Revised edition,9789710328307,Hong Kong,Brainworld,TR,"ix, 308p.: ill.; 28cm",,
HS00980,TR 512 AU37 2003,Intermediate algebra: an applied approach,"Aufmann, Richard N.",2003,Sixth edition,618203095,Boston,Houghton Mifflin Company,TR,484p.; 28cm,,
HS00981,TR 400,Literature & language arts,,,,30660890,,"Holt, Rinehart and Winston",TR,"x, 147p.; 28cm",,
HS00982,TR 1998,Skills assessment,,,,26884585,,SRA/McGraw-Hill,TR,81p.: ill.; 28cm,,
HS00983,TR 510 W58 2009,Computations of fractions: math intervention for elementary and middle grades students,"Witzel, Bradley S.",2009,,9780205567386,New Jersey,"Pearson Education, Inc.",TR,192p.: ill.; 28cm,,
HS00984,TR 428.2 B7883 1999,"50 graphic organizers for reading, writing & more","Irwin-DeVitis, Linda",1999,,590004840,New York,Professional Books,TR,112p.: ill.; 28cm,,
HS00985,TR 428 C4661 2008,Vocabulary spelling poetry I,"Chapman, James A.",2008,Fifth edition,,,A Beka Book,TR,71p.; 23cm,,
HS00986,TR 335.4 SI83 2003,US terrorism & war in the Philippines,"Sison, Jose Maria",2003,,9719246030,,"Aklat ng Bayan, Inc.",TR,"x, 141p.; 23cm",,
HS00987,TR 808 C9573 2010,Public speaking and professional etiquette,"Cruz-Tapalla, Wilma",2010,,9789712724527,Mandaluyong City,"Anvil Publishing, Inc.",TR,183p.; 23cm,,
HS00988,TR 362.71 G66 2008,Diversity in early care and education: honoring differences,"Gonzales-Mena, Janet",2008,Fifth edition,9780073525860,Boston,McGraw-Hill,TR,"xiii, 150p.: ill.; 23cm",,
HS00989,TR 378.198 V38 2004,Orientation to college learning,"Van Blerkom, Dianna L.",2004,Fourth edition,534608132,Australia,Thompson,TR,"xxxiv, 349p.; 24cm",,
HS00990,TR 530 S492 2014 V.1,University Physics,"Serway, Raymond A.",2014,Ninth edition,9781305295728,Pasig City,Cengage Learning Asia,TR,ill.; 26cm,,
HS00991,TR 530 S492 2014 V.2,University Physics,"Serway, Raymond A.",2014,Ninth edition,9781305299580,Pasig City,Cengage Learning Asia,TR,ill.; 26cm,,
HS00992,TR 516 c.2,"Geometry: integration, applications & connections",,,,2825287,McGraw-Hill,,TR,85p.; 28cm,,
HS00993,TR 516 c.3,"Geometry: integration, applications & connections",,,,2825287,McGraw-Hill,,TR,85p.; 28cm,,
HS00994,TR 516 c.4,"Geometry: integration, applications & connections",,,,2825287,McGraw-Hill,,TR,85p.; 28cm,,
HS00995,TR 516 c.5,"Geometry: integration, applications & connections",,,,2825287,McGraw-Hill,,TR,85p.; 28cm,,
HS00996,TR 516 c.6,"Geometry: integration, applications & connections",,,,2825287,McGraw-Hill,,TR,85p.; 28cm,,
HS00997,TR 516 c.7,"Geometry: integration, applications & connections",,,,2825287,McGraw-Hill,,TR,85p.; 28cm,,
HS00998,TR 510 H689,Holt california mathematics,,,,9780030945410,,Holt California Mathematics,TR,92p.; 28cm,,
HS00999,TR 512 2008 c.3,Math expressions,"Fuson, Karen C.",2008,,9780618896097,Boston,Houghton Mifflin,TR,"iv, 192p.: col. ill.; 28cm",,
HS01000,R 641.865 D273f 2014,"500 Pastry recipes: A fabulous collection of every kind of pastry from pies and tarts to mouthwatering puffs and parcels, shown in 500 photograps","Day, Martha",2014,,9780754823704,London,Lorenz Books,REF,256p. : col. ill. ; 29 cm,w/index,
HS01001,R 914.563 C172v 2014,The vatican: secrets and treasure of the holy city,"Collins, Michael",2014,,978146541920,New York,Dorling Kindersley Limited,REF,311p. : col. ill. ; 28 cm,"w/index, glossary",
HS01002,R 520 H847 2017,How these universe works: An illustrated guide to the cosmos and all we know about it,,2017,,9780785835417,New York,Chartwell Books,REF,231p. : col. ill. ; 29 cm.,w/index,
HS01003,R 745.593 U471 2011,The ultimate practical guide to scrapbooking,"Lindsay, Alison",2011,,978184479178,Leicestershire,Hermes House,REF,256p. : col. ill. ; 30 cm,w/index,
HS01004,FIL 700.92 C899n 2003,The national artists of the Philippines 1999-2003,Cultural Center of the Philippines,2003,,9712714128,Pasig City,"Anvil Publishing, Inc.",FIL,"xiii, 167p. : ill. ; 26 cm.",,
HS01005,FIL 959.9 H1113 2013,"Our beloved country: A history of the Philippines, english edition of Lupang Hinirang","Habana, Olivia Anne M.",2013,,9789712725746,Mandaluyong City,"Anvil Publishing, Inc.",FIL,"viii, 386p. : ill. ; 26 cm",,
HS01006,FIL 959.90 J62 2005,A question of heroes,"Joaquin, Nick",2005,,9712715469,Mandaluyong City,"Anvil Publishing, Inc.",FIL,237p. ; 23 cm.,,
HS01007,FIL 899.21 M44 1998,Babae at iba pang mga kuwento,"Matute, Genoneva Esdroza",1998,,971101002X,Quezon City,New Day Publishers,FIL,139p. : ill. ; 23 cm.,,
HS01008,FIL 301.24 P195g,General sociology focus on the Philippines,"Panopio, Isabel S.",1994,,9718558152,Quezon City,"Ken, Incorporated",FIL,466p. : ill. ; 22 cm.,"Co-author: Felicidad V. Cordero-MacDonald
Adelissa A. Raymundo
w/bibliography, index",
HS01009,FIL 821 A235 2009,"Buwan, Buwang Bulawan","Alma, Rio",2009,,9789175083478,Quezon City,"Adarna House, Inc.",FIL,120p. : (some) col. ill. ; 23cm.,,
HS01010,TR 2002,Decodable takehome books,,2002,,75723093,McGraw-Hill,,TR,col. ill.; 28cm,,
HS01011,TR 500 1995,New progress in mathematics,,1995,New edition,821517260,New York,Sadlier-Oxford,TR,"iv, 176p.; 28cm",,
HS01012,TR 550,Focus on earth science,,,,328258679,,"Pearson Education, Inc.",TR,"xviii, 179p.; 28cm",,
HS01013,TR 550 c.1,Focus on earth science,,,,328258679,,"Pearson Education, Inc.",TR,"xviii, 179p.; 28cm",,
HS01014,TR 550 c.2,Focus on earth science,,,,328258679,,"Pearson Education, Inc.",TR,"xviii, 179p.; 28cm",,
HS01015,TR 550 c.3,Focus on earth science,,,,328258679,,"Pearson Education, Inc.",TR,"xviii, 179p.; 28cm",,
HS01016,TR 550 c.4,Focus on earth science,,,,328258679,,"Pearson Education, Inc.",TR,"xviii, 179p.; 28cm",,
HS01017,TR 550 c.5,Focus on earth science,,,,328258679,,"Pearson Education, Inc.",TR,"xviii, 179p.; 28cm",,
HS01018,TR 510 2002,Mathematics,,2002,California edition,9780021006113,New York,McGraw-Hill,TR,"xviii, 279p.: col. ill.; 31cm",,
HS01019,TR 909 c.1,World history,,,,131299913,Boston,"Pearson Education, Inc.",TR,"vi, 109p.; 28cm",,
HS01020,TR 550 R4621 2016,Earth science,"Reynolds, Stephen J.",2016,,9781308743011,,McGraw-Hill,TR,"iv, 446p.: col. ill.; 26cm",,
HS01021,TR 248 M292 1998,This is our faith,"Manternach, Janaan",1998,,382304950,New Jersey,Silver Burdett Ginn,TR,364p.: col. ill.; 28cm,,
HS01022,TR 306.874 D378 1985,Parents' answer book,"del Solar, Charlotte",1985,Sixth edition,,,Parent and Child Books,TR,64p.: ill.; 24cm,,
HS01023,TR 370.4 CI491 2008,Guidance and counseling in schools,"Ambida-Cinco, Linda",2008,,9710868853,Mandaluyong City,National Book Store,TR,110p.; 23cm,,
HS01024,TR 420 M1271 2004,English phrasal verbs in use,"McCarthy, Michael",2004,,9780521605663,New York,Cambridge University Press,TR,206p.; 24cm,,
HS01025,TR 351.1 P358 1960,Service maual,,,,,,,TR,,,
HS01026,TR 420.7 p223 1972,SRA Teacher's handbook,,,,,,,TR,,,
HS01027,TR 420.7 p223 1972,SRA Teacher's handbook,,,,,,,TR,,,
HS01028,GC 707 2007,In the paint,,2007,,933821205,Canada,Time Inc.,GC,125p.: col. ill.; 31cm,,
HS01029,238 W555p 2012,What the church believes and teaches: promise,,2012,,,,Pflaum Publishing Group,GC,33p.: col. ill.; 28cm,,
HS01030,238 W555g 2012,What the church believes and teaches: good news,,2012,,,,Pflaum Publishing Group,GC,33p.: col. ill.; 28cm,,
HS01031,238 W555v 2012,What the church believes and teaches: venture,,2012,,,,Pflaum Publishing Group,GC,33p.: col. ill.; 28cm,,
HS01032,TR 570 S7961 2014,Biology,"Starr, Cecie",2014,Second edition,9781305303546,Pasig City,Cengage Learning Asia,TR,"xiv, 347p.: ill.; 26cm",,
HS01033,TR 530 O851 2012,The world of physics,"Ostdiek, Vern J.",2012,,9789814369701,Pasig City,Cengage Learning Asia,TR,534p.: ill.; 28cm,,
HS01034,TR 530 2016,Introduction to earth science,,2016,,9781308811536,,McGraw-Hill Education,TR,451p.: ill.; 26cm,,
HS01035,TR 350.19 N9 1989,Modern public administration,"Nigro, Flix A.",1989,Seventh edition,9710849581,New York,"HarperCollins Publishers, Inc.",TR,387p.; 26cm,,
HS01036,TR 792 C166 1995,Theatre arts: the dynamic of acting,"Caltagirone, Dennis",1995,Fourth edition,844251658,Illinois,National Textbook Company,TR,"xvi, 330p.: col.; 24cm",w/ index,
HS01037,TR 570 S7961 2016,Biology today and tomorrow with physiology,"Starr, Cecie",2016,Fifth edition,9789814763509,Pasig City,Cengage Learning Asia,TR,"xiv, 618p.: ill.; 26cm",w/ index,
HS01038,TR 570 M6471 2010,Biology,"Miller, Kenneth R.",2010,Low price edition,9789810696412,"Pearson Education, Inc.",,TR,"xxii, 1034p.: ill.; 26cm",,
HS01039,428.24 En36,English: workbook plus,,,,618090703,Boston,Houghton Mifflin,GC,,,
HS01040,TR 519.522 B585 2008,Elementary statistics: a step by step approach,"Bluman, Allan G.",2008,Fourth edition,978007110189,Boston,McGraw-Hill,TR,"xxxiv, 657p.: col. ill.; 27cm",,
HS01041,TR 420.7 p223 1972,SRA Teacher's handbook,,,,,,,TR,,,
HS01042,TR 420.7 p223 1972,SRA Teacher's handbook,,,,,,,TR,,,
HS01043,TR 370.19 R952 2010,"Those who can, teach","Cooper, Ryan",2010,12th edition,9781439041116,,Wadsworth,TR,"xxvii, 522p.: col. ill.; 26cm",,
HS01044,GC 371.94 L68 2009,The school counselor's guide to ADHD: what to know and do to help your students,"Lougy, Richard A.",2009,,9781412966535,California,Corwin,GC,"xiv, 168p.; 26cm",,
HS01045,TR 371.102 G72 2009,Teach! change! empower!: solutions for closing the achievement gaps,"Grant, Carl A.",2009,,9781412976497,California,Corwin,TR,"xi, 139p.; 26cm",,
HS01046,TR 372.21 P111 2010,Managing preschool program,"Pabalan, Victorina",2010,,9789712357107,Manila,Rex Book Store,TR,"v, 192p.; 26cm",,
HS01047,TR 372.4 P9444 2003,Promising practices for urban reading instruction,"Maason, Pamela A.",2003,,9780131536834,New Jersey,"Pearson Education, Inc.",TR,"xx, 552p.; 24cm",,
HS01048,TR 372.5 S79 2018,Creativity in the classroom: schools of curious delight,"Starko, Alane Jordan",2018,Sixth edition,9781138228825,New York,Routledge,TR,"xv, 416p.; 26cm",,
HS01049,TR 613 1996,Healthy you! : taking care of yourself,,1996,,153062800,Florida,Harcourt Brace & Company,TR,,,
HS01050,TR 613 1996 c.1,Healthy you! : taking care of yourself,,1996,,153062800,Florida,Harcourt Brace & Company,TR,,,
HS01051,TR 613 1996,Healthy you! : healthy choices for you,,1996,,153062819,Florida,Harcourt Brace & Company,TR,,,
HS01052,TR 613 1996,Healthy you! : healthy choices for you,,1996,,153062819,Florida,Harcourt Brace & Company,TR,,,
HS01053,TR 338.092 W77 2016,Winnin: management lessons outside the classroom,"del Rosario, Francisco Jr.",2016,,9789712732638,Makati City,"Management Association of the Philippines Research and Development Foundation, Inc.",TR,203p.; 26cm,,
HS01054,TR 570 B5927 2012,Biology,"Biggs, Alton",2012,,978971063357,Quezon City,"Phoenix Publishing House, Inc.",TR,"xxix, 1197p.: col. ill.; 28cm",,
HS01055,TR 613 1996,Healthy you! : learning about yourself,,1996,,153062827,Florida,Harcourt Brace & Company,TR,,,
HS01056,TR 530 2012,Introduction to earth science,"Thompson, Graham R.",2012,Philippine edition,9789814369695,Pasig City,Cengage Learning Asia,TR,494p.: ill.; 28cm,,
HS01057,TR 372.612 B788s 2002,Stretching students' vocabulary,"Bromley, Karen",2002,,439288398,New York,Professional Books,TR,128p.; 28cm,,
HS01058,TR 375 W54 2005,Understanding by design,"Wiggins, Grant",2005,Second edition,9781416600350,,ASCD,TR,"xi, 370p.; 28cm",,
HS01059,FIL 920 B321t 1996,Pilipinas kopirayt - 1996,"Batubalani, A.M.",1996,,9716680120,Manila,Loacan Publishing House,FIL,107p. : ill. ; 20 cm.,,
HS01060,R 510 A243 2006,Math Dictionary,"Adriano, Anna",2006,,9713616057,Valenzuela City,"S.G.E. Publishing, Inc.",REF,126p. ; 17 cm.,,
HS01061,TR 572 ST671b 2017,Biochemistry,,2017,Third edition,9789719808787,Quezon City,"C&E Publishing, Inc.",TR,"vi, 404p,: ill.; 26cm",w/ glossary,
HS01062,TR 371.1 C8174 2013,Principles of teaching 1,"Corpuz, Brenda B.",2013,,9716857498,Quezon City,"Lorimar Publishing, Inc.",TR,"xiii, 209p.: ill.; 26cm",,
HS01063,TR 550 M6471 2016,Earth science,"Mille, G. Tyler",2016,,9789712378294,Manila,Rex Book Store,TR,366p.: ill.; 26cm,,
HS01064,TR 375 W54 2005 c.1,Understanding by design,"Wiggins, Grant",2005,Second edition,9781416600350,,ASCD,TR,"xi, 370p.; 28cm",,
HS01065,R 016.8088 H72 2008,The new book of knowledge: home and school reading and study guides,,2008,,9780717205899,,"Scholastic, Inc.",REF,266p.; 26cm,,
HS01066,TR 613 1997,Health safety & manners,,1997,Second edition,,,A Beka Books,TR,"vi, 176p.: col. ill.; 28cm",,
HS01067,TR 530 Z822 2013,Physics: principles & problems,Zitzewitz,2013,,9789710633616,Quezon City,"Phoenix Publishing House, Inc.",TR,"xxxiii, 923p.: col. ill.; 28cm",w/ index,
HS01068,TR 550 C124,Fundamentals of earth science,"Cadiz, Arlon P.",,,9786214060771,Manila,"Mindshaper Co., Inc.",TR,"x, 330p.: ill.; 26cm",,
HS01069,TR 241.09 O76 1995,Who is Christian?,"o'Toole, Robert",1995,,9715041388,Makati City,St. Pauls,TR,166p.; 22cm,,
HS01070,FIL 808.8 Co67 1999,"Collections of speeches, poems, oratorical and declamation pieces","Mariano, Angela C.",1999,,9717161089,Quezon City,Books on Wheels Enterprises,FIL,"ix, 129p. ; 21 cm.",,
HS01071,FIL 899.21 J62 2014,Gotita de Dragon and other stories,"Joaquin, Nick",2014,,9789712729546,Mandaluyong City,"Anvil Publishing, Inc.",FIL,111p. : ill. ; 21 cm.,,
HS01072,FIL 808.899 R4572 2005,Mga kuwento ni lola basyang,"Reyes, Severino",2005,,9716301464,Makati City,Tahanan Books,FIL,222p. : ill. ; 23 cm.,,
HS01073,FIL 031 M862 2009,Did you know?: world's most famous things and places,"Morito, Gina S.",2009,,9711011994,Quezon City,New Day Publishers,FIL,102p. ; 23 cm.,,
HS01074,FIL 959.90 J62 2004,Culture and history,"Joaquin, Nick",2004,,9712714276,Mandaluyong City,"Anvil Publishing, Inc.",FIL,411p. ; 23 cm.,,
